date,close,high,low,open,quoteVolume,volume,weightedAverage
2018-05-01 07:00:00,8982.05250891,8982.09392078,8982.05250891,8982.07321271,7.80000418,70060.35764748,8982.09232081
2018-05-01 07:05:00,8965.02233797,8998.76782921,8965.02233797,8982.09392078,1.49829514,13453.75231605,8979.37392765
2018-05-01 07:10:00,8960.29512877,8995.73871472,8960.29512877,8992.37198635,3.10524786,27916.37002332,8990.06175414
2018-05-01 07:15:00,8983.61758842,8983.66169164,8960.18000004,8983.3529691,1.0377961,9308.92464013,8969.89749733
2018-05-01 07:20:00,8983.0,8988.40302414,8960.83557803,8988.40302414,0.38573247,3458.3232681,8965.60060942
2018-05-01 07:25:00,8987.17334248,8987.86981326,8961.0,8961.04467593,1.28203908,11508.61656294,8976.80635674
2018-05-01 07:30:00,9002.07321271,9002.07321271,8965.24291008,8987.17334248,2.20770915,19844.39832778,8988.68328184
2018-05-01 07:35:00,9010.01722003,9018.59006467,8993.00699301,9002.0,1.02386258,9226.39477534,9011.36046533
2018-05-01 07:40:00,8974.25849827,9016.55751873,8974.25849827,9010.01722003,12.07826069,108679.24877295,8997.92209841
2018-05-01 07:45:00,8970.0,9001.89767004,8970.0,8974.25849827,2.8028189,25182.30395037,8984.63470129
2018-05-01 07:50:00,9002.0,9005.0,8970.0,8980.0,3.26796355,29406.65398062,8998.46449652
2018-05-01 07:55:00,8988.22907615,9005.0,8970.13076025,9005.0,1.5914632800000001,14305.54905195,8988.92813408
2018-05-01 08:00:00,8992.02544968,8993.4093942,8970.0,8988.22907537,2.58240547,23174.91680278,8974.15881123
2018-05-01 08:05:00,8992.81699668,8992.81699668,8971.0,8975.0,1.64939813,14816.16368382,8982.76978392
2018-05-01 08:10:00,8995.55865557,8997.55865557,8972.2281164,8992.8403961,1.37201873,12318.60509687,8978.45257321
2018-05-01 08:15:00,8999.00000072,9018.07832183,8979.60838639,8995.55865557,8.06419217,72647.33281564,9008.63115414
2018-05-01 08:20:00,9039.03772755,9045.0,8999.0000005,8999.00000086,6.29144423,56861.22950941,9037.86593836
2018-05-01 08:25:00,9045.0,9046.9992359,9020.0,9045.0,3.3030099,29837.32334513,9033.37387669
2018-05-01 08:30:00,9051.0,9057.67832185,9025.04679909,9025.04679909,3.83076028,34674.04865504,9051.47963344
2018-05-01 08:35:00,9049.99995657,9053.18070145,9025.87654907,9053.18070145,5.30561571,47974.21819488,9042.15850093
2018-05-01 08:40:00,9055.8,9055.8,9026.7783564,9044.77866173,0.06597513,596.43282789,9040.26756584
2018-05-01 08:45:00,9040.0,9050.0,9025.87654907,9050.0,3.83304195,34626.71102047,9033.74173102
2018-05-01 08:50:00,9051.0,9059.61982104,9028.97866173,9049.91064756,1.74876399,15814.46499449,9043.22429151
2018-05-01 08:55:00,9053.43126192,9068.38502365,9038.1,9059.59748308,2.53468604,22982.60251102,9067.23836733
2018-05-01 09:00:00,9039.0,9063.25435918,9039.0,9048.40397435,2.6242214500000003,23731.04214975,9043.07910056
2018-05-01 09:05:00,9062.99999999,9062.99999999,9039.0,9039.0,4.43014622,40098.57015342,9051.29721732
2018-05-01 09:10:00,9047.57952308,9063.0,9032.89799119,9063.0,2.84546445,25734.23782525,9043.94986388
2018-05-01 09:15:00,9025.17592413,9059.92025183,9020.976838,9053.97312154,12.67999257,114622.16564611,9039.6082658
2018-05-01 09:20:00,9035.95729365,9036.07216813,9007.57952291,9025.0,8.3837606,75666.00179522,9025.30563613
2018-05-01 09:25:00,9031.0,9046.09851636,9020.04573761,9036.04876841,1.25981695,11384.15226416,9036.35426096
2018-05-01 09:30:00,9034.1945668,9051.07916921,9031.08877916,9031.08877916,3.50032636,31651.90576399,9042.55846703
2018-05-01 09:35:00,9054.05405645,9062.99999998,9034.2403036,9051.14936733,2.39060917,21647.51336963,9055.22895222
2018-05-01 09:40:00,9063.0,9063.0,9041.0,9059.94446159,2.09932519,19013.96770407,9057.18075248
2018-05-01 09:45:00,9050.00000001,9073.03520501,9042.02233796,9063.0,4.28183456,38803.87476344,9062.44139508
2018-05-01 09:50:00,9034.17116676,9069.9776621,9034.17116676,9050.00000001,4.24158089,38377.49422972,9047.92227827
2018-05-01 09:55:00,9033.27184639,9038.90854925,9010.28904396,9034.17116676,3.19607171,28837.4923257,9022.79264744
2018-05-01 10:00:00,9045.35678576,9054.56985445,9030.0,9033.31652252,2.2433370200000002,20259.19714066,9030.83083818
2018-05-01 10:05:00,9010.44695432,9040.06329254,9010.44695432,9040.06329254,1.98512889,17905.16889896,9019.65055728
2018-05-01 10:10:00,8997.44206213,9030.58266212,8981.12479651,9010.54055404,3.24421316,29199.65348111,9000.53481107
2018-05-01 10:15:00,8995.0000009,9010.80421481,8984.00009,8995.50417353,0.62522608,5627.95687316,9001.47491155
2018-05-01 10:20:00,8996.18401365,9021.03752248,8995.0,9009.65749891,2.08645104,18798.67530293,9009.8808659
2018-05-01 10:25:00,8996.11652251,9019.02531036,8996.11652251,9006.0,0.70238908,6323.36551271,9002.65350467
2018-05-01 10:30:00,9030.79295804,9034.9792962,8996.11652251,9004.97660058,0.75248398,6786.82850704,9019.23321616
2018-05-01 10:35:00,9030.81366213,9039.06329254,9006.28646936,9030.7929582,3.45834792,31238.94779403,9032.91066042
2018-05-01 10:40:00,9019.0,9038.97356413,9015.11324067,9030.81366213,0.69475748,6274.91788914,9031.81048031
