date,close,high,low,open,quoteVolume,volume,weightedAverage,price_usd
2015-02-25,5.8e-07,6.2e-07,5.599999999999999e-07,6.2e-07,421155.58935124,0.24594829,5.8e-07,0.00013812829421142
2015-02-26,5.699999999999999e-07,6.1e-07,5.599999999999999e-07,5.8e-07,174123.41211846,0.10147299,5.8e-07,0.00013714670589558
2015-02-27,5.599999999999999e-07,6e-07,5.599999999999999e-07,5.699999999999999e-07,61379.82773467,0.03548049,5.699999999999999e-07,0.00014166729931161997
2015-02-28,5.599999999999999e-07,5.8e-07,5.2e-07,5.8e-07,991548.90383303,0.54375354,5.4e-07,0.00013579731097488
2015-03-01,4.8e-07,5.9e-07,4.8e-07,5.2e-07,253422.87919346,0.13034979,5.1e-07,0.0001283654516842
2015-03-02,4.9e-07,5.699999999999999e-07,4.5999999999999994e-07,4.8e-07,198862.34584029,0.09533865,4.7e-07,0.00012521825832183332
2015-03-03,4.8e-07,5.2e-07,4.8e-07,4.8e-07,420007.52314931,0.20915375,4.9e-07,0.00013488477613398666
2015-03-04,5.1e-07,5.1e-07,4.5e-07,4.8e-07,115587.33616181,0.05601748,4.8e-07,0.0001325966901992
2015-03-05,4.8e-07,5.2e-07,4.8e-07,5.1e-07,66859.70788631,0.03358484,5e-07,0.00013809432380916666
2015-03-06,5.2e-07,6.4e-07,4.8e-07,4.8e-07,366992.42040832,0.19725207,5.3e-07,0.00014449802645121002
2015-03-07,4.9e-07,5.5e-07,4.9e-07,5.2e-07,383786.1949116,0.19637249,5.1e-07,0.00013895232366497998
2015-03-08,5.5e-07,5.699999999999999e-07,5e-07,5e-07,127704.4641957,0.06868873,5.3e-07,0.00014678776637474335
2015-03-09,6.2e-07,7e-07,5.4e-07,5.4e-07,595453.7671633,0.34784294,5.8e-07,0.00016370950882081998
2015-03-10,6.2e-07,6.699999999999999e-07,5.8e-07,6e-07,299271.56626823,0.18672476000000002,6.2e-07,0.00017689599106419335
2015-03-11,6.8e-07,7.699999999999999e-07,6e-07,6.3e-07,727306.90887389,0.50018179,6.8e-07,0.0001997092501592933
2015-03-12,5.9e-07,6.8e-07,5.8e-07,6.8e-07,641226.56647624,0.39371754000000003,6.1e-07,0.00017901904043254665
2015-03-13,6.699999999999999e-07,6.8e-07,5.9e-07,6e-07,330247.07112296,0.2045464,6.1e-07,0.0001758594581767233
2015-03-14,7.4e-07,7.799999999999999e-07,6.699999999999999e-07,6.699999999999999e-07,672910.83617194,0.48598756,7.2e-07,0.00020369998279944003
2015-03-15,7.1e-07,7.5e-07,7e-07,7.4e-07,414686.53857871,0.29782417,7.1e-07,0.00020296300152979665
2015-03-16,6.699999999999999e-07,7.1e-07,6.2e-07,7.1e-07,970733.68038456,0.63894704,6.499999999999999e-07,0.00018869867054804998
2015-03-17,7e-07,7.5e-07,6.3e-07,7e-07,433835.07662014,0.2939333,6.699999999999999e-07,0.00019283548407623668
2015-03-18,6.499999999999999e-07,7.1e-07,6.4e-07,7e-07,344314.20274756,0.23108946,6.699999999999999e-07,0.0001794679493201966
2015-03-19,6.699999999999999e-07,7e-07,6.599999999999999e-07,6.8e-07,202303.31391288,0.13747514,6.699999999999999e-07,0.00017240335162040332
2015-03-20,6.8e-07,6.8e-07,6.499999999999999e-07,6.499999999999999e-07,150652.94258802,0.09892941,6.499999999999999e-07,0.00016975924158721663
2015-03-21,6.4e-07,6.8e-07,6.3e-07,6.8e-07,367373.65831831,0.23664552,6.4e-07,0.00016667679783594668
2015-03-22,6.599999999999999e-07,7e-07,6.3e-07,6.499999999999999e-07,797922.86840445,0.5364627,6.699999999999999e-07,0.00017805571394622664
2015-03-23,6.4e-07,6.599999999999999e-07,6.1e-07,6.4e-07,132806.26206789,0.084007,6.3e-07,0.00016807970104884
2015-03-24,6.3e-07,6.3e-07,6e-07,6.1e-07,373811.4977712,0.23034273,6.1e-07,0.00015519530088196
