date,close,high,low,open,quoteVolume,volume,weightedAverage,price_usd
2015-09-08,3.1e-07,3.7999999999999996e-07,1.7000000000000001e-07,1.8e-07,1427095700.1445,391.54205898,2.7e-07,6.57956231845875e-05
2015-09-09,2e-07,3.2e-07,1.8999999999999998e-07,3.1e-07,311543189.08647,76.20208764,2.4e-07,5.766476396201999e-05
2015-09-10,1.8e-07,2.2999999999999997e-07,1.6e-07,2e-07,302220274.69451,56.65760735,1.8e-07,4.3002717544214997e-05
2015-09-11,1.8e-07,2e-07,1.6e-07,2e-07,156356650.90899,27.46643797,1.7000000000000001e-07,4.085727220134e-05
2015-09-12,1.3999999999999998e-07,1.8999999999999998e-07,1.3e-07,1.8e-07,134117922.65635,20.73142298,1.5e-07,3.5694520824149996e-05
2015-09-13,1.5e-07,1.7000000000000001e-07,1.3e-07,1.5e-07,51497467.584938,7.69596858,1.3999999999999998e-07,3.2449834271504995e-05
2015-09-14,1.5e-07,1.7000000000000001e-07,1.5e-07,1.6e-07,70996417.030224,11.13382189,1.5e-07,3.4520539060124997e-05
2015-09-15,1.5e-07,1.6e-07,1.3e-07,1.3999999999999998e-07,139832404.22844,19.48295194,1.3e-07,2.9984742558972498e-05
2015-09-16,1.3e-07,1.5e-07,1.3e-07,1.5e-07,58384039.438235,8.09534024,1.3e-07,2.974923661099e-05
2015-09-17,1.3e-07,1.3999999999999998e-07,1.2e-07,1.3e-07,143908445.87594,18.87124936,1.3e-07,3.0069552347152502e-05
2015-09-18,1.3e-07,1.3999999999999998e-07,1.2e-07,1.3e-07,35875426.359195,4.48193047,1.2e-07,2.7994608005939995e-05
2015-09-19,1.2e-07,1.3e-07,1.1e-07,1.3e-07,76474222.647966,8.78754964,1.1e-07,2.550025217168e-05
2015-09-20,1.2e-07,1.3999999999999998e-07,1.2e-07,1.3e-07,95335484.28061,12.10037372,1.2e-07,2.774225009868e-05
2015-09-21,1.3e-07,1.3999999999999998e-07,1.2e-07,1.3e-07,90894578.924165,11.40205296,1.2e-07,2.7371455505909995e-05
2015-09-22,1.3999999999999998e-07,1.3999999999999998e-07,1.3e-07,1.3999999999999998e-07,35330917.932006,4.71382194,1.3e-07,2.9820991537675e-05
2015-09-23,1.3999999999999998e-07,1.5e-07,1.3e-07,1.3999999999999998e-07,95066427.581637,12.97403595,1.3e-07,2.99788044800725e-05
2015-09-24,1.3999999999999998e-07,1.5e-07,1.3e-07,1.3999999999999998e-07,43004802.901646,5.96867051,1.3e-07,3.0220969703535e-05
2015-09-25,1.3e-07,1.3999999999999998e-07,1.3e-07,1.3999999999999998e-07,20146943.696054,2.6374771900000002,1.3e-07,3.06020839823725e-05
2015-09-26,1.3999999999999998e-07,1.3999999999999998e-07,1.2e-07,1.3e-07,13735587.685132,1.7714976199999999,1.2e-07,2.8172258699219995e-05
